"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","993","2","0","7","97"
"2","ALWAR","1106","34","0","9","146"
"3","BANSWARA","84","0","0","0","10"
"4","BARAN","373","1","0","0","5"
"5","BARMER","52","0","0","1","3"
"6","BHARATPUR","351","3","0","11","26"
"7","BHILWARA","58","0","0","15","55"
"8","BIKANER","1025","2","0","5","25"
"9","BUNDI","170","0","0","6","8"
"10","CHITTORGARH","566","14","0","12","78"
"11","CHURU","442","0","0","0","2"
"12","DAUSA","792","9","0","15","57"
"13","DHOLPUR","499","0","0","4","3"
"14","DUNGARPUR","178","0","0","12","54"
"15","GANGANAGAR","271","0","0","3","3"
"16","HANUMANGARH","333","2","0","4","14"
"17","JAIPUR","2032","31","0","47","505"
"18","JAISALMER","64","4","0","0","6"
"19","JALORE","179","0","0","4","7"
"20","JHALAWAR","497","3","0","2","26"
"21","JHUNJHUNU","621","0","0","0","9"
"22","JODHPUR","625","25","0","25","169"
"23","KARAULI","300","0","0","0","8"
"24","KOTA","1063","8","0","5","34"
"25","NAGAUR","431","5","0","0","57"
"26","PALI","735","1","0","0","50"
