"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1132953","20123416"
"2","Total No. of patients tested Positive","9207","769781"
"3","No. of patients discharged","6884","747159"
"4","Total Deaths reported","57","20363"
"5","Sample collected on the day","","11884"
"6","Test conducted on the day","","11676"
"7","Positive cases on the day","","434"
"8","Number of active Cases","","2259"
"9","No. of Patients on oxygen support","","59"
"10","Patients at critical care Level-3 facilities","","8"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218771"
"14","Frontline Workers vaccinated with 1st dose on the day","","6"
"15","Total Frontline Workers vaccinated with 1st dose","","1117662"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","46"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211345"
"18","Frontline Workers vaccinated with 2nd dose on the day","","131"
"19","Total Frontline Workers vaccinated with 2nd dose","","1016891"
"20","Above 45 Vaccinated with 1st dose on the day","","296"
"21","Total Above 45 Vaccinated with 1st dose","","8335428"
"22","Above 45 Vaccinated with 2nd dose on the day","","3856"
"23","Total Above 45 Vaccinated with 2nd dose","","7564847"
"24","18-44 years age group Vaccinated with 1st dose on the day","","995"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12618983"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","8721"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10486791"
"28","15-17 years age group Vaccinated with 1st dose on the day","","628"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1099690"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2040"
"31","Total 15-17 years age group Vaccinated with 2nddose","","815239"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1778"
"33","Total 12-14 years age group Vaccinated with 1st dose","","630857"
"34","12-14 years age group Vaccinated with 2nddose on the day","","3168"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","411946"
"36","Precautionary dose given on the day","","24795"
"37","Total Precautionary dose given","","922040"
"38","Total Vaccination 1st dose on the day","","1299"
"39","Total Vaccination 2nd dose on the day","","12754"
"40","Total Vaccination 1st and 2nd dose on the day","","14053"
