"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24004","","5338","","29342",""
"2","Total Active Cases","14 
(0.06%)","","00 
(0%)","","14 
(0.05%)",""
"3","Total Cured/Discharged","23819 
(99.2%)","","5278 
(98.9%)","","29097 
(99.17%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","00","","00",""
"6","Total Positive cases in Home Isolation","13","","00","","13",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","76","","07","","83",""
"10","No. of Samples Positive (Today)","02","","00","","02",""
"11","No. of Samples Negative (Today)","74","","07","","81",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","66 
00 
01 
00 
67"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(02/10/2022)","","Test Done Today 
(03/10/2022)","","Cumulative"
"","","a)RTPCR","39450","","50","","39500"
"","","b)TRUENAT","15321","","02","","15323"
"","","c)RAT","363554","","31","","363585"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","719550","","83","","719633"
