"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","446"
"2","Number of persons tested positive today in Tamil Nadu","37"
"3","Total Number of persons tested positive till date","34,52,612"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","32,259/ 
6,54,22,215@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","32,237/ 
6,42,45,829"
"6","No. of Male / Female / Transgender tested positive today","20/17/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,043/14,37,531/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","336 (69 Govt+ 
267$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","66/ 
34,14,141"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
