"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","488"
"2","Number of persons tested positive today in Tamil Nadu","73"
"3","Total Number of persons tested positive till date","34,53,829"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","20,014/ 
6,61,29,520@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","20,003/ 
6,49,52,742"
"6","No. of Male / Female / Transgender tested positive today","42/31/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,707/14,38,084/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","334 (69 Govt+ 
265Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","32/ 
34,15,316"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
