"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24031","","5338","","29369",""
"2","Total Active Cases","13 
(0.05%)","","00 
(0%)","","13 
(0.04%)",""
"3","Total Cured/Discharged","23847 
(99.23%)","","5278 
(98.9%)","","29125 
(99.16%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","00","","00",""
"6","Total Positive cases in Home Isolation","13","","00","","13",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","78","","21","","99",""
"10","No. of Samples Positive (Today)","02","","00","","02",""
"11","No. of Samples Negative (Today)","76","","21","","97",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","44 
00 
00 
00 
44"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(12/10/2022)","","Test Done Today 
(13/10/2022)","","Cumulative"
"","","a)RTPCR","340185","","61","","340246"
"","","b)TRUENAT","15450","","09","","15459"
"","","c)RAT","363918","","29","","363947"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","720778","","99","","720877"
