"Total No. of Sample Taken Today","9288"
"Total No. of Positive Cases Detected Today","417"
"Total Active COVID-19 Patients","1757"
"Total No. of Active Cases under Home Isolation (24-04-2022)","1729"
"Total No. of Samples found Positive till date","989292"
"Total Positive COVID-19 Patients Recovered / Discharged till date","976894"
"No. of Deaths","10618"
"Total No. of People Vaccinated Today","11293 
(1st Dose: 3193 
2nd Dose: 4237 
Precaution Dose: 3863)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23296895 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 87% for 18yrs above population)","18782890 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","368704"
"Cumulative Coverage of Total COVID-19 Vaccination","42448489"
"COVID-19 Today (24-04-2022) Positivity Rate","4.24%"
"Recovery Rate","98.75%"
"Fatality Rate","1.07%"
"Tests Per Million Population","6799958"
