"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","633813","2","37834","0","410","3","37404","20"
"2","ALWAR","1260922","1","59721","0","307","0","59402","12"
"3","BANSWARA","234691","0","10005","0","104","0","9901","0"
"4","BARAN","164406","0","11997","0","61","0","11936","0"
"5","BARMER","333758","1","15576","0","185","2","15386","5"
"6","BHARATPUR","385373","0","19601","0","260","0","19341","0"
"7","BHILWARA","397801","0","29783","0","156","0","29626","1"
"8","BIKANER","600702","0","40381","1","546","3","39807","28"
"9","BUNDI","177840","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","364166","0","19809","0","139","0","19670","0"
"11","CHURU","321121","0","16721","0","107","0","16614","0"
"12","DAUSA","212888","0","13354","0","62","2","13291","1"
"13","DHOLPUR","227064","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","252773","0","18410","0","131","0","18276","3"
"15","GANGANAGAR","337513","1","19357","0","150","0","19205","2"
"16","HANUMANGARH","383107","1","16056","0","111","0","15942","3"
"17","JAIPUR","2564757","15","188055","0","1971","17","185982","102"
"18","JAISALMER","207822","1","13646","0","66","0","13575","5"
"19","JALORE","377589","0","10067","0","72","0","9995","0"
"20","JHALAWAR","287544","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","378108","0","14812","0","158","0","14653","1"
"22","JODHPUR","1165465","2","112426","0","1103","0","111314","9"
"23","KARAULI","172616","0","7156","0","70","0","7086","0"
