"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","412","1","0","9","36"
"2","ALWAR","931","5","0","2","32"
"3","BANSWARA","82","0","0","2","4"
"4","BARAN","144","0","0","0","2"
"5","BARMER","26","0","0","0","0"
"6","BHARATPUR","55","0","0","0","1"
"7","BHILWARA","125","0","0","3","3"
"8","BIKANER","378","2","0","2","15"
"9","BUNDI","81","0","0","0","7"
"10","CHITTORGARH","171","2","0","5","14"
"11","CHURU","79","0","0","0","0"
"12","DAUSA","326","0","0","0","4"
"13","DHOLPUR","104","0","0","0","0"
"14","DUNGARPUR","8","0","0","6","1"
"15","GANGANAGAR","87","0","0","0","2"
"16","HANUMANGARH","137","0","0","0","0"
"17","JAIPUR","1164","13","0","23","72"
"18","JAISALMER","7","0","0","0","0"
"19","JALORE","95","0","0","0","2"
"20","JHALAWAR","688","0","0","0","2"
"21","JHUNJHUNU","300","0","0","0","0"
"22","JODHPUR","205","1","0","0","28"
"23","KARAULI","172","0","0","1","0"
"24","KOTA","816","7","0","8","49"
"25","NAGAUR","253","2","0","1","5"
"26","PALI","366","5","0","2","11"
