,Unnamed: 0,44,Unnamed: 1,बलुदंशहर,Unnamed: 2,1,Unnamed: 3,10,Unnamed: 4,26312,Unnamed: 5,0,Unnamed: 6,252,Unnamed: 7,10.1,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,गोंडा,,0.0,,1.0,,14102.0,,0.0,,284.0,,9.0,,,,,
1,,46,,लसद्धाथ ुनगर,,0.0,,0.0,,11515.0,,0.0,,102.0,,9.0,,,,,
2,,47,,सीतापरु,,0.0,,1.0,,15744.0,,0.0,,187.0,,9.0,,,,,
3,,48,,औरैय्या,,1.0,,0.0,,10776.0,,0.0,,211.0,,8.0,,,,,
4,,49,,बहराइच,,0.0,,5.0,,13401.0,,0.0,,178.0,,8.0,,,,,
5,,50,,पीलीभीत,,0.0,,1.0,,12717.0,,0.0,,205.0,,8.0,,,,,
6,,51,,अमठेी,,0.0,,1.0,,11475.0,,0.0,,145.0,,7.0,,,,,
7,,52,,अयोध्या,,0.0,,6.0,,18664.0,,0.0,,293.0,,7.0,,,,,
8,,53,,बललया,,0.0,,1.0,,22507.0,,0.0,,245.0,,7.0,,,,,
9,,54,,चचत्रकूट,,2.0,,2.0,,7749.0,,0.0,,79.0,,7.0,,,,,
10,,55,,गाजीपरु,,3.0,,2.0,,23865.0,,0.0,,295.0,,7.0,,,,,
11,,56,,भदोही,,0.0,,3.0,,8464.0,,0.0,,165.0,,6.0,,,,,
12,,57,,बबजनौर,,1.0,,1.0,,18278.0,,0.0,,139.0,,6.0,,,,,
13,,58,,महोबा,,0.0,,2.0,,4464.0,,0.0,,88.0,,6.0,,,,,
14,,59,,मजुफ्फरनगर,,1.0,,4.0,,38312.0,,0.0,,277.0,,6.0,,,,,
15,,60,,बलरामपरु,,0.0,,4.0,,8110.0,,0.0,,139.0,,5.0,,,,,
16,,61,,महाराजगजं,,1.0,,21.0,,14662.0,,0.0,,146.0,,5.0,,,,,
17,,62,,कानपरु देहात,,1.0,,0.0,,7122.0,,0.0,,110.0,,4.0,,,,,
18,,63,,सतं कबीर नगर,,2.0,,14.0,,8842.0,,0.0,,101.0,,4.0,,,,,
19,,64,,चदंौली,,0.0,,1.0,,17525.0,,0.0,,378.0,,3.0,,,,,
20,,65,,मऊ,,0.0,,0.0,,8932.0,,0.0,,86.0,,3.0,,,,,
21,,66,,रामपरु,,0.0,,1.0,,14603.0,,0.0,,153.0,,3.0,,,,,
22,,67,,हापड़ु,,0.0,,3.0,,15186.0,,0.0,,224.0,,2.0,,,,,
23,,68,,लमर्ाुपरु,,1.0,,1.0,,11950.0,,0.0,,126.0,,2.0,,,,,
24,,69,,सभंल,,0.0,,0.0,,11023.0,,0.0,,109.0,,2.0,,,,,
25,,70,,शामली,,0.0,,2.0,,16689.0,,0.0,,48.0,,2.0,,,,,
26,,71,,बदाय,,0.0,,0.0,,17910.0,,0.0,,101.0,,1.0,,,,,
27,,72,,मरुादाबाद,,0.0,,1.0,,46067.0,,0.0,,367.0,,1.0,,,,,
28,,73,,श्रावस्ती,,0.0,,2.0,,5233.0,,0.0,,41.0,,1.0,,,,,
29,,74,,हाथरस,,0.0,,0.0,,3716.0,,0.0,,43.0,,0.0,,,,,
30,,75,,कासगजं,,0.0,,1.0,,4882.0,,0.0,,55.0,,0.0,,,,,
31,,Total,,,,,,,200.0,,461.0,,2043126.0,,4.0,,23475.0,,2364.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23475 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
