"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","6,087"
"2","Number of persons tested positive today in Tamil Nadu","625"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Maharashtra-1 
West Bengal-1"
"","Total","627"
"3","Total Number of persons tested positive till date","35,62,719"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","22,756/ 
6,86,64,798@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","22,500/ 
6,74,53,594"
"6","No. of Male / Female / Transgender tested positive today","372/255/0"
"7","No. of Male / Female / Transgender tested positive till date","20,77,586/14,85,095/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","769/ 
35,18,599"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,033"
