"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17761","","3636","","21397",""
"2","Total Active Cases","210 
(1.18%)","","15 
(0.41%)","","225 
(1.1%)",""
"3","Total Cured/ Discharged","17396 
(97.94%)","","3563                                  
(97.9%)","","(97.95%)",""
"4","Total Died","155 
(0.87%)","","58 
(1.6%)","","213 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","24","","00","","24",""
"6","Total Positive cases in Home Isolation","156","","15","","171",""
"7","COVID Care Centre","14","","0","","14",""
"8","Facility Isolation","16","","0","","16",""
"9","No. of Samples Tested (Today)","523","","730","","1253",""
"10","No. of Samples Positive (Today)","26","","02","","28",""
"11","No. of Samples Negative (Today)","492","","728","","1220",""
"12","Repeat Positive/ Resampling (Today)","05","","00","","05",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","78 
           44 
       00 
           96 
          218"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(23/11/2021)","","Test Done Today 
(24/11/2021)","","Cumulative"
"","","a)  RTPCR","224293","","1105","","225398"
"","","b)  TRUENAT","11035","","01","","11036"
"","","c)  RAT","330613","","147","","330760"
"","","d)  CBNAAT","147","","0","","147"
"","","TOTAL","566088","","1253","","567341"
