"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","7,946"
"2","Number of persons tested positive today in Tamil Nadu","703"
"3","Total Number of persons tested positive till date","27,32,648"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,01,766/ 
5,50,87,387@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,01,523/ 
5,41,53,003"
"6","No. of Male / Female / Transgender tested positive today","427/276/0"
"7","No. of Male / Female / Transgender tested positive till date","15,95,039/11,37,571/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","315 (69 Govt+ 
246 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","728/ 
26,88,142"
"10","Total number of deaths today/ till date","11(4 Private &  
7 Govt) /36,560)"
