"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","711"
"2","Number of persons tested positive today in Tamil Nadu","144"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE-1"
"","Total","145$"
"3","Total Number of persons tested positive till date","34,55,758"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","14,864/ 
6,66,55,256@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","14,843/ 
6,54,77,909"
"6","No. of Male / Female / Transgender tested positive today","88/57/0"
"7","No. of Male / Female / Transgender tested positive till date","20,16,767/14,38,953/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","337 (69 Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","63/ 
34,17,022"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
