"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23956","","5337","","29293",""
"2","Total Active Cases","43 
(0.18%)","","00 
(0%)","","43 
(0.15%)",""
"3","Total Cured/Discharged","23743 
(99.11%)","","5277 
(98.9%)","","29020 
(99.07%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","00","","02",""
"6","Total Positive cases in Home Isolation","25","","00","","25",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","16","","00","","16",""
"9","No. of Samples Tested (Today)","102","","84","","186",""
"10","No. of Samples Positive (Today)","06","","00","","06",""
"11","No. of Samples Negative (Today)","96","","84","","180",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","57 
00 
00 
00 
57"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(11/09/2022)","","Test Done Today 
(12/09/2022)","","Cumulative"
"","","a)RTPCR","37822","","147","","37969"
"","","b)TRUENAT","15079","","05","","15084"
"","","c)RAT","362903","","34","","362937"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","717029","","186","","717215"
