"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","648307","0","37864","0","410","3","37433","21"
"2","ALWAR","1309613","1","59743","0","307","2","59431","5"
"3","BANSWARA","249463","0","10005","0","104","0","9901","0"
"4","BARAN","173896","0","12000","0","61","0","11936","3"
"5","BARMER","340410","0","15585","0","186","0","15394","5"
"6","BHARATPUR","392028","0","19605","0","260","0","19344","1"
"7","BHILWARA","412499","2","29791","0","156","0","29627","8"
"8","BIKANER","612664","3","40405","0","546","1","39841","18"
"9","BUNDI","185280","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","374393","0","19809","0","139","0","19670","0"
"11","CHURU","334788","0","16723","0","108","0","16615","0"
"12","DAUSA","220843","0","13356","0","62","0","13292","2"
"13","DHOLPUR","231078","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","259887","0","18412","0","131","0","18281","0"
"15","GANGANAGAR","349071","0","19362","0","151","0","19207","4"
"16","HANUMANGARH","403482","0","16076","0","111","3","15955","10"
"17","JAIPUR","2622073","8","188210","0","1971","6","186152","87"
"18","JAISALMER","211431","0","13650","0","66","0","13580","4"
"19","JALORE","388196","0","10068","0","72","0","9995","1"
"20","JHALAWAR","303076","1","13613","0","187","0","13425","1"
"21","JHUNJHUNU","399121","0","14826","0","159","0","14660","7"
"22","JODHPUR","1184616","0","112442","0","1103","0","111326","13"
"23","KARAULI","181900","0","7156","0","70","0","7086","0"
