"Total No. of Sample Taken Today","4331"
"Total No. of Positive Cases Detected Today","34"
"Total Active COVID-19 Patients","180"
"Total No. of Active Cases under Home Isolation (10-10-2022)","168"
"Total No. of Samples found Positive till date","1055309"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1044398"
"No. of Deaths","10708"
"Total No. of People Vaccinated Today","2354 
(1st Dose: 199 
2nd Dose: 523 
Precaution Dose: 1632)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23667087 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19812353 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1920311"
"Cumulative Coverage of Total COVID-19 Vaccination","45399751"
"COVID-19 Today (10-10-2022) Positivity Rate","0.59%"
"Recovery Rate","98.97%"
"Fatality Rate","1.01%"
