"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","359"
"2","Number of persons tested positive today in Tamil Nadu","30"
"3","Total Number of persons tested positive till date","34,54,621"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","16,027/ 
6,64,04,505@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","16,001/ 
6,52,27,420"
"6","No. of Male / Female / Transgender tested positive today","19/11/0"
"7","No. of Male / Female / Transgender tested positive till date","20,16,127/14,38,456/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","79/ 
34,16,237"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
