"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18028","","3655","","21683",""
"2","Total Active Cases","277 
(1.53%)","","21 
(0.6%)","","298 
(1.37%)",""
"3","Total Cured/ Discharged","17594 
(97.3%)","","3576                                  
(97.8%)","","(97.6%)",""
"4","Total Died","157 
(0.87%)","","58 
(1.6%)","","215 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","20","","00","","20",""
"6","Total Positive cases in Home Isolation","225","","21","","246",""
"7","COVID Care Centre","16","","0","","16",""
"8","Facility Isolation","16","","0","","16",""
"9","No. of Samples Tested (Today)","737","","350","","1087",""
"10","No. of Samples Positive (Today)","14","","00","","14",""
"11","No. of Samples Negative (Today)","717","","350","","1067",""
"12","Repeat Positive/ Resampling (Today)","06","","00","","06",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","177 
           00 
       00 
            31 
          208"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(03/12/2021)","","Test Done Today 
(04/12/2021)","","Cumulative"
"","","a)  RTPCR","234560","","787","","235347"
"","","b)  TRUENAT","11078","","06","","11084"
"","","c)  RAT","333311","","294","","333605"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","579121","","1087","","580208"
