"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,466"
"2","Number of persons tested positive today in Tamil Nadu","509"
"3","Total Number of persons tested positive till date","35,83,613"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","14,301/ 
6,94,39,594@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","14,122/ 
6,82,21,222"
"6","No. of Male / Female / Transgender tested positive today","296/213/0"
"7","No. of Male / Female / Transgender tested positive till date","20,89,533/14,94,042/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","538/ 
35,40,100"
"10","Total number of deaths today/ till date","1 (0 Private & 
1 Govt) /38,047"
