"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","9,616"
"2","Number of persons tested positive today in Tamil Nadu","805"
"3","Total Number of persons tested positive till date","27,14,830"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,03,684/ 
5,26,46,187"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,03,374/ 
5,17,18,208"
"6","No. of Male / Female / Transgender tested positive today","464/341/0"
"7","No. of Male / Female / Transgender tested positive till date","15,84,466/11,30,326/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","308 (69 Govt+ 
239 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","929/ 
26,68,930"
"10","Total number of deaths today/ till date","11(6 Private &  
5 Govt) /36,284)"
