"Total No. of Sample Taken Today","32473"
"Total No. of Positive Cases Detected Today  
(Omicron Cases Reported Today: 0)","1440"
"Total Active COVID-19 Patients","7866"
"Total No. of Active Cases under Home Isolation (10-02-2022)","7091"
"Total No. of Samples found Positive till date 
Total Omicron Cases:752 (Active – 3, Discharged - 749)","970326"
"Total Positive COVID-19 Patients Recovered / Discharged till date","951975"
"No. of Deaths","10462"
"Total No. of People Vaccinated today","94643 
(1st Dose: 18875, 
2nd Dose: 70337 
Precaution Dose: 5431)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18 yrs above population)","22686197 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 83% for 18yrs above population)","17254952 (83%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","191730"
"Cumulative Coverage of Total COVID-19 Vaccination","40132879"
"COVID-19 Today (10-02-2022) Positivity Rate","4.46%"
"Recovery Rate","98.11%"
"Fatality Rate","1.08%"
"Tests Per Million Population","637019"
