"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227063","221181","5876","6"
"12","Nashik","472857","463941","8910","6"
"13","Ahmednagar","377688","370426","7242","20"
"14","Jalgaon","149525","146764","2761","0"
"15","Nandurbar","46615","45653","962","0"
"16","Dhule","50755","50083","670","2"
"17","Aurangabad","176532","172247","4284","1"
"18","Jalna","66328","65100","1224","4"
"19","Beed","109183","106297","2883","3"
"20","Latur","104917","102428","2489","0"
"21","Parbhani","58559","57274","1279","6"
"22","Hingoli","22175","21658","514","3"
"23","Nanded","102665","99960","2704","1"
"24","Osmanabad","75154","73014","2139","1"
"25","Amravati","105945","104321","1624","0"
"26","Akola","66181","64711","1470","0"
"27","Washim","45628","44983","641","4"
"28","Buldhana","92013","91177","836","0"
"29","Yavatmal","81980","80160","1820","0"
"30","Nagpur","576404","567184","9215","5"
"31","Wardha","65669","64261","1408","0"
"32","Bhandara","67941","66799","1142","0"
"33","Gondia","45421","44834","587","0"
"34","Chandrapur","98824","97231","1592","1"
