"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","172","109949","160","107649","1","2280","20"
"2","SAS Nagar","344","96033","310","94843","1","1149","41"
"3","Jalandhar","117","78388","98","76798","0","1578","12"
"4","Patiala","212","62243","209","60781","0","1457","5"
"5","Amritsar","80","59477","72","57780","0","1682","15"
"6","Bathinda","49","50918","45","49823","0","1088","7"
"7","Hoshiarpur","52","40892","60","39792","0","1096","4"
"8","Gurdaspur","20","26959","19","26092","1","865","2"
"9","Pathankot","44","24577","43","24076","0","495","6"
"10","Fazilka","26","23424","35","22874","0","545","5"
"11","Muktsar","7","22561","11","22021","0","539","1"
"12","Kapurthala","32","22067","31","21483","1","583","1"
"13","Ropar","29","17967","27","17510","0","455","2"
"14","Ferozepur","17","17916","17","17377","0","537","2"
"15","Mansa","6","17234","3","16839","1","393","2"
"16","Faridkot","25","16808","27","16468","0","338","2"
"17","Sangrur","0","14309","1","13574","0","735","0"
"18","SBS Nagar","20","13422","25","13013","0","409","0"
"19","FG Sahib","10","11844","8","11488","0","354","2"
"20","Moga","5","10993","6","10737","1","255","1"
"21","Tarn Taran","4","10902","3","10508","0","394","0"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","1","3969","0","3791","0","176","2"
"","Total","1279","760356","1222","742472","6","17752","132"
