"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","596647","19585516"
"2","Total No. of patients tested Positive","1279","760356"
"3","No. of patients discharged","1222","742472"
"4","Total Deaths reported","6","17752"
"5","Sample collected on the day","","10895"
"6","Test conducted on the day","","7686"
"7","Positive cases on the day","","13"
"8","Number of active Cases","","132"
"9","No. of Patients on oxygen support","","0"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218623"
"14","Frontline Workers vaccinated with 1st dose on the day","","17"
"15","Total Frontline Workers vaccinated with 1st dose","","1117293"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","20"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210105"
"18","Frontline Workers vaccinated with 2nd dose on the day","","68"
"19","Total Frontline Workers vaccinated with 2nd dose","","1012385"
"20","Above 45 Vaccinated with 1st dose on the day","","456"
"21","Total Above 45 Vaccinated with 1st dose","","8314324"
"22","Above 45 Vaccinated with 2nd dose on the day","","8163"
"23","Total Above 45 Vaccinated with 2nd dose","","7271792"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1908"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12558041"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","17124"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9879976"
"28","15-17 years age group Vaccinated with 1st dose on the day","","850"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1075451"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2918"
"31","Total 15-17 years age group Vaccinated with 2nddose","","711389"
"32","12-14 years age group Vaccinated with 1st dose on the day","","2366"
"33","Total 12-14 years age group Vaccinated with 1st dose","","575608"
"34","12-14 years age group Vaccinated with 2nddose on the day","","4798"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","275081"
"36","Precautionary dose given on the day","","2622"
"37","Total Precautionary dose given","","642313"
"38","Total Vaccination 1st dose on the day","","2383"
"39","Total Vaccination 2nd dose on the day","","25375"
"40","Total Vaccination 1st and 2nd dose on the day","","27758"
