"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","756257","26","49478","1","442","176","48726","310"
"2","ALWAR","1503274","27","84244","0","319","137","83570","355"
"3","BANSWARA","294487","57","14427","0","106","77","13868","453"
"4","BARAN","215029","11","15155","0","64","21","14965","126"
"5","BARMER","392096","4","21390","0","203","11","20979","208"
"6","BHARATPUR","460593","16","31327","0","272","47","30918","137"
"7","BHILWARA","485869","9","38026","0","161","71","37650","215"
"8","BIKANER","699634","31","49611","0","581","55","48821","209"
"9","BUNDI","219208","3","9711","0","55","8","9634","22"
"10","CHITTORGARH","440117","14","29291","0","140","0","29065","86"
"11","CHURU","405605","29","20630","0","114","35","20376","140"
"12","DAUSA","269980","3","15739","0","77","13","15588","74"
"13","DHOLPUR","267809","3","13707","0","49","33","13578","80"
"14","DUNGARPUR","322689","1","25443","0","134","10","25224","85"
"15","GANGANAGAR","405833","42","27949","0","158","82","27348","443"
"16","HANUMANGARH","470460","9","22332","0","114","0","22103","115"
"17","JAIPUR","3161731","214","271408","2","2108","732","266341","2959"
"18","JAISALMER","237704","48","16989","0","68","36","16733","188"
"19","JALORE","432025","0","10513","0","78","0","10420","15"
"20","JHALAWAR","355843","15","17594","1","207","26","17291","96"
"21","JHUNJHUNU","468286","55","18974","0","179","24","18446","349"
"22","JODHPUR","1351707","80","140372","0","1162","85","138884","326"
"23","KARAULI","225459","32","8872","0","83","0","8624","165"
