"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","12,288"
"2","Number of persons tested positive today in Tamil Nadu","1,075"
"3","Total Number of persons tested positive till date","26,98,493"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,21,553/ 
5,06,65,567@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,21,115/ 
4,97,43,848"
"6","No. of Male / Female / Transgender tested positive today","628/447/0"
"7","No. of Male / Female / Transgender tested positive till date","15,74,898/11,23,557/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","306 (69 Govt+ 
237 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,315/ 
26,50,145"
"10","Total number of deaths today/ till date","12(4 Private &  
8 Govt) /36,060)"
