"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","16836","16522","53","261"
"2","Chengalpattu","171427","167948","976","2503"
"3","Chennai","554188","544117","1533","8538"
"4","Coimbatore","246298","242538","1353","2407"
"5","Cuddalore","64012","62929","216","867"
"6","Dharmapuri","28369","27863","233","273"
"7","Dindigul","33070","32320","105","645"
"8","Erode","104017","102470","865","682"
"9","Kallakurichi","31316","30977","129","210"
"10","Kancheepuram","74844","73237","350","1257"
"11","Kanyakumari","62293","61065","180","1048"
"12","Karur","24012","23475","181","356"
"13","Krishnagiri","43496","42943","206","347"
"14","Madurai","75155","73776","207","1172"
"15","Mayiladuthurai","23262","22831","115","316"
"16","Nagapattinam","21023","20488","194","341"
"17","Namakkal","52065","51049","520","496"
"18","Nilgiris","33494","33049","235","210"
"19","Perambalur","12051","11773","35","243"
"20","Pudukottai","30143","29596","132","415"
"21","Ramanathapuram","20552","20127","68","357"
"22","Ranipet","43389","42511","104","774"
"23","Salem","99647","97361","603","1683"
"24","Sivagangai","20148","19809","133","206"
"25","Tenkasi","27347","26824","39","484"
"26","Thanjavur","75187","73640","577","970"
"27","Theni","43563","43004","39","520"
"28","Thirupathur","29263","28563","75","625"
"29","Thiruvallur","119235","116913","480","1842"
"30","Thiruvannamalai","54902","54022","213","667"
"31","Thiruvarur","41369","40647","284","438"
"32","Thoothukudi","56253","55718","127","408"
"33","Tirunelveli","49326","48741","154","431"
"34","Tiruppur","95130","93429","724","977"
"35","Trichy","77376","75843","478","1055"
"36","Vellore","49805","48498","177","1130"
"37","Villupuram","45817","45334","127","356"
"38","Virudhunagar","46272","45661","63","548"
"39","Airport Surveillance 
(International)","1028","1024","3","1"
"40","Airport Surveillance 
(Domestic)","1085","1082","2","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","26,98,493","26,50,145","12,288","36,060"
