"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","913","2","0","17","88"
"2","ALWAR","1479","17","0","50","138"
"3","BANSWARA","134","1","0","0","10"
"4","BARAN","371","2","0","1","6"
"5","BARMER","32","3","0","1","5"
"6","BHARATPUR","298","3","0","6","22"
"7","BHILWARA","431","6","0","12","46"
"8","BIKANER","625","8","0","4","39"
"9","BUNDI","106","1","0","0","9"
"10","CHITTORGARH","603","10","0","13","63"
"11","CHURU","234","0","0","0","2"
"12","DAUSA","760","8","0","0","93"
"13","DHOLPUR","259","2","0","1","6"
"14","DUNGARPUR","128","3","0","8","34"
"15","GANGANAGAR","281","0","0","0","1"
"16","HANUMANGARH","264","0","0","4","13"
"17","JAIPUR","1878","91","0","57","447"
"18","JAISALMER","50","6","0","1","10"
"19","JALORE","179","0","0","2","3"
"20","JHALAWAR","516","1","0","2","23"
"21","JHUNJHUNU","500","2","0","0","17"
"22","JODHPUR","500","18","0","26","162"
"23","KARAULI","279","0","0","0","2"
"24","KOTA","937","9","0","7","43"
"25","NAGAUR","456","9","0","0","70"
"26","PALI","542","14","0","8","73"
