"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","703326","570","42278","0","413","275","39070","2795"
"2","ALWAR","1389980","1410","70438","0","312","767","62826","7300"
"3","BANSWARA","273482","187","10930","0","104","37","10130","696"
"4","BARAN","193645","118","12775","0","62","59","12078","635"
"5","BARMER","368168","353","18977","1","189","124","16244","2544"
"6","BHARATPUR","426138","841","24983","0","260","434","21135","3588"
"7","BHILWARA","449622","293","32652","0","156","218","30497","1999"
"8","BIKANER","654903","464","45781","2","552","571","42322","2907"
"9","BUNDI","200908","64","8405","0","48","90","8073","284"
"10","CHITTORGARH","409305","512","23426","0","139","349","21246","2041"
"11","CHURU","372216","199","18132","0","108","111","16975","1049"
"12","DAUSA","243147","157","14596","0","65","93","13683","848"
"13","DHOLPUR","248794","60","11885","0","48","11","11046","791"
"14","DUNGARPUR","295893","292","20023","0","131","95","18831","1061"
"15","GANGANAGAR","372103","390","21177","0","151","47","19562","1464"
"16","HANUMANGARH","443249","378","18436","0","111","217","16434","1891"
"17","JAIPUR","2884040","2919","227394","2","1995","3656","205309","20090"
"18","JAISALMER","225540","185","14940","1","67","175","14103","770"
"19","JALORE","411589","12","10148","0","73","0","9997","78"
"20","JHALAWAR","330643","176","14777","1","191","108","13990","596"
"21","JHUNJHUNU","430736","161","15823","1","162","77","14877","784"
"22","JODHPUR","1262590","851","123777","1","1111","750","117282","5384"
"23","KARAULI","204062","114","7524","0","72","5","7098","354"
