,Unnamed: 0,44,Unnamed: 1,जालौन,Unnamed: 2,0,Unnamed: 3,0.1,Unnamed: 4,13853,Unnamed: 5,0.2,Unnamed: 6,209,Unnamed: 7,1,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,कानपरु नगर,,0.0,,1.0,,91512.0,,0.0,,1923.0,,1.0,,,,,
1,,46,,मनैपरुी,,0.0,,0.0,,11483.0,,0.0,,189.0,,1.0,,,,,
2,,47,,मजुफ्फरनगर,,0.0,,0.0,,38328.0,,0.0,,277.0,,1.0,,,,,
3,,48,,सभंल,,0.0,,0.0,,11024.0,,0.0,,109.0,,1.0,,,,,
4,,49,,सोनभद्र,,1.0,,0.0,,18656.0,,0.0,,257.0,,1.0,,,,,
5,,50,,उन्नाव,,0.0,,2.0,,16910.0,,0.0,,257.0,,1.0,,,,,
6,,51,,अयोध्या,,0.0,,0.0,,18680.0,,0.0,,293.0,,0.0,,,,,
7,,52,,बदाय,,0.0,,0.0,,17913.0,,0.0,,101.0,,0.0,,,,,
8,,53,,बलरामपरु,,0.0,,2.0,,8121.0,,0.0,,139.0,,0.0,,,,,
9,,54,,बरेली,,0.0,,0.0,,50099.0,,0.0,,377.0,,0.0,,,,,
10,,55,,बस्ती,,0.0,,0.0,,12801.0,,0.0,,337.0,,0.0,,,,,
11,,56,,बहराइि,,0.0,,1.0,,13413.0,,0.0,,178.0,,0.0,,,,,
12,,57,,भदोही,,0.0,,0.0,,8476.0,,0.0,,165.0,,0.0,,,,,
13,,58,,बबजनौर,,0.0,,0.0,,18289.0,,0.0,,139.0,,0.0,,,,,
14,,59,,िदंौली,,0.0,,0.0,,17533.0,,0.0,,378.0,,0.0,,,,,
15,,60,,देवररया,,0.0,,0.0,,22404.0,,0.0,,230.0,,0.0,,,,,
16,,61,,एटा,,0.0,,0.0,,12105.0,,0.0,,100.0,,0.0,,,,,
17,,62,,क्रिरोजाबाद,,0.0,,0.0,,10565.0,,0.0,,136.0,,0.0,,,,,
18,,63,,गाजीपरु,,0.0,,0.0,,23878.0,,0.0,,295.0,,0.0,,,,,
19,,64,,कानपरु देहात,,0.0,,0.0,,7126.0,,0.0,,111.0,,0.0,,,,,
20,,65,,कासगजं,,0.0,,0.0,,4885.0,,0.0,,55.0,,0.0,,,,,
21,,66,,कौशाम्बी,,0.0,,0.0,,4878.0,,0.0,,72.0,,0.0,,,,,
22,,67,,महोबा,,0.0,,0.0,,4471.0,,0.0,,89.0,,0.0,,,,,
23,,68,,मथरुा,,0.0,,0.0,,25590.0,,0.0,,406.0,,0.0,,,,,
24,,69,,मऊ,,0.0,,0.0,,8938.0,,0.0,,86.0,,0.0,,,,,
25,,70,,लमर्ाुपरु,,0.0,,0.0,,11955.0,,0.0,,126.0,,0.0,,,,,
26,,71,,पीलीभीत,,0.0,,0.0,,12728.0,,0.0,,205.0,,0.0,,,,,
27,,72,,सतं कबीर नगर,,0.0,,0.0,,8854.0,,0.0,,101.0,,0.0,,,,,
28,,73,,शाहजहांपरु,,0.0,,0.0,,24401.0,,0.0,,447.0,,0.0,,,,,
29,,74,,शामली,,0.0,,0.0,,16696.0,,0.0,,48.0,,0.0,,,,,
30,,75,,श्रावस्ती,,0.0,,2.0,,5235.0,,0.0,,42.0,,0.0,,,,,
31,,Total,,,,,,,28.0,,47.0,,2047257.0,,1.0,,23499.0,,290.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23499 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
