"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","256"
"2","Number of persons tested positive today in Tamil Nadu","24"
"3","Total Number of persons tested positive till date","34,52,955"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","19,156/ 
6,57,13,531@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","19,146/ 
6,45,36,968"
"6","No. of Male / Female / Transgender tested positive today","11/13/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,205/14,37,712/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","31/ 
34,14,674"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
