"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","765766","7","49669","0","444","20","49157","68"
"2","ALWAR","1532890","2","84351","0","320","10","84013","18"
"3","BANSWARA","300192","11","14694","0","106","21","14499","89"
"4","BARAN","220041","5","15229","0","64","5","15115","50"
"5","BARMER","396132","3","21447","0","205","7","21205","37"
"6","BHARATPUR","466529","3","31391","0","272","6","31088","31"
"7","BHILWARA","492084","4","38159","0","161","11","37992","6"
"8","BIKANER","711839","20","49830","0","584","22","49193","53"
"9","BUNDI","222849","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","444308","8","29357","0","140","0","29180","37"
"11","CHURU","413296","15","20758","0","114","20","20586","58"
"12","DAUSA","275737","3","15768","0","79","5","15673","16"
"13","DHOLPUR","271019","3","13739","0","49","6","13674","16"
"14","DUNGARPUR","324623","0","25494","0","134","2","25360","0"
"15","GANGANAGAR","412711","10","28093","0","158","12","27862","73"
"16","HANUMANGARH","475622","4","22424","0","114","4","22250","60"
"17","JAIPUR","3227048","144","273475","0","2109","112","269943","1423"
"18","JAISALMER","239533","2","17029","0","68","4","16942","19"
"19","JALORE","435608","0","10536","0","78","0","10433","25"
"20","JHALAWAR","362633","3","17686","0","207","7","17460","19"
"21","JHUNJHUNU","475226","5","19147","0","180","20","18897","70"
"22","JODHPUR","1369751","22","140824","0","1163","55","139525","136"
"23","KARAULI","229642","1","8961","0","84","5","8856","21"
