"Total No. of Sample Taken Today","21793"
"Total No. of Positive Cases Detected Today  
(Omicron Cases Reported Today: 0)","254"
"Total Active COVID-19 Patients","1411"
"Total No. of Active Cases under Home Isolation (03-03-2022)","1309"
"Total No. of Samples found Positive till date 
Total Omicron Cases:830 (Active – 0, Discharged - 830)","982443"
"Total Positive COVID-19 Patients Recovered / Discharged till date","970440"
"No. of Deaths","10569"
"Total No. of People Vaccinated today","35053 
(1st Dose: 5649, 
2nd Dose: 28078 
Precaution Dose: 1326)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","22864758 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 85% for 18yrs above population)","18078316 (85%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","240277"
"Cumulative Coverage of Total COVID-19 Vaccination","41183351"
"COVID-19 Today (03-03-2022) Positivity Rate","1.61%"
"Recovery Rate","98.78%"
"Fatality Rate","1.08%"
"Tests Per Million Population","656056"
