"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","507"
"2","Number of persons tested positive today in Tamil Nadu","54"
"3","Total Number of persons tested positive till date","34,53,883"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","20,069/ 
6,61,49,589@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","20,057/ 
6,49,72,799"
"6","No. of Male / Female / Transgender tested positive today","28/26/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,735/14,38,110/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","336 (69 Govt+ 
267$Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","35/ 
34,15,351"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
