"D
       
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 30-07-2022","","","","","",""
"","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective  intervention  in  the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","1242","",""
"","","2","Total Discharges","3955018","",""
"","","3","Today's Tests Conducted","32379","",""
"","","4","Total Tests Conducted","67768601","",""
"","","5","Today’s New Cases Reported (29.07.2022, 00:00 to 23:59)","1886","",""
"","","6","Total Active Cases","10509","",""
"","","7","Today's Deaths Reported","1","",""
"","","8","Total Covid Deaths","40102","",""
"","","9","Total Positive Cases","4005671","",""
"","","10","Positivity Rate for the day (29.07.2022, 00:00 to 23:59)","5.82%","",""
"","","11","*Weekly Total Positivity Rate","5.97%","",""
"","","12","Case Fatality Rate (CFR) for the day (29.07.2022, 00:00 to 23:59)","0.05%","",""
"","","13","*Weekly Case Fatality Rate","0.09%","",""
"*From  24-07-2022 to  30-07-2022 
Particulars 
Today’s 
Cumulative 
A 
Total Passengers screened at Air ports 
5591* 
1297936 
          * Date:  29-07-2022  
 
 
Date: 30-07-2022 
Page 1 of 9","","","","","",""
