"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18271","","3687","","21958",""
"2","Total Active Cases","158 
(0.86%)","","30 
(0.81%)","","188 
(0.86%)",""
"3","Total Cured/ Discharged","17954 
(98.3%)","","3599                                  
(96.5%)","","(98.2%)",""
"4","Total Died","159 
(0.87%)","","58 
(1.6%)","","217 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","15","","00","","15",""
"6","Total Positive cases in Home Isolation","102","","30","","132",""
"7","COVID Care Centre","21","","0","","21",""
"8","Facility Isolation","20","","0","","20",""
"9","No. of Samples Tested (Today)","440","","411","","851",""
"10","No. of Samples Positive (Today)","19","","09","","28",""
"11","No. of Samples Negative (Today)","421","","402","","823",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","312 
           00 
       00 
            04 
          316"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(18/12/2021)","","Test Done Today 
(19/12/2021)","","Cumulative"
"","","a)  RTPCR","243824","","733","","244557"
"","","b)  TRUENAT","11176","","08","","11184"
"","","c)  RAT","336477","","110","","336587"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","591649","","851","","592500"
