"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","938096","19926974"
"2","Total No. of patients tested Positive","4650","763688"
"3","No. of patients discharged","3617","744867"
"4","Total Deaths reported","35","17781"
"5","Sample collected on the day","","11634"
"6","Test conducted on the day","","11757"
"7","Positive cases on the day","","168"
"8","Number of active Cases","","1040"
"9","No. of Patients on oxygen support","","23"
"10","Patients at critical care Level-3 facilities","","4"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","4"
"13","Total Healthcare Workers vaccinated with 1st dose","","218712"
"14","Frontline Workers vaccinated with 1st dose on the day","","6"
"15","Total Frontline Workers vaccinated with 1st dose","","1117536"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","22"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210904"
"18","Frontline Workers vaccinated with 2nd dose on the day","","108"
"19","Total Frontline Workers vaccinated with 2nd dose","","1015025"
"20","Above 45 Vaccinated with 1st dose on the day","","360"
"21","Total Above 45 Vaccinated with 1st dose","","8328646"
"22","Above 45 Vaccinated with 2nd dose on the day","","7562"
"23","Total Above 45 Vaccinated with 2nd dose","","7490913"
"24","18-44 years age group Vaccinated with 1st dose on the day","","963"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12599236"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","15814"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10321245"
"28","15-17 years age group Vaccinated with 1st dose on the day","","784"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1089652"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","3443"
"31","Total 15-17 years age group Vaccinated with 2nddose","","775854"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1497"
"33","Total 12-14 years age group Vaccinated with 1st dose","","600380"
"34","12-14 years age group Vaccinated with 2nddose on the day","","3958"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","349045"
"36","Precautionary dose given on the day","","3151"
"37","Total Precautionary dose given","","754840"
"38","Total Vaccination 1st dose on the day","","1333"
"39","Total Vaccination 2nd dose on the day","","23506"
"40","Total Vaccination 1st and 2nd dose on the day","","24839"
