"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,382"
"2","Number of persons tested positive today in Tamil Nadu","740"
"3","Total Number of persons tested positive till date","27,24,731"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,01,030/ 
5,39,68,345@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,00,775/ 
5,30,36,711"
"6","No. of Male / Female / Transgender tested positive today","442/298/0"
"7","No. of Male / Female / Transgender tested positive till date","15,90,333/11,34,360/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","310 (69 Govt+ 
241 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","765/ 
26,79,895"
"10","Total number of deaths today/ till date","11(4 Private &  
7 Govt) /36,454)"
