"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22948","","5275","","28223",""
"2","Total Active Cases","05 
(0.02%)","","00 
(0%)","","05 
(0.02%)",""
"3","Total Cured/ Discharged","22775 
(99.25%)","","5215                                  
(98.9%)","","(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","0","","02",""
"6","Total Positive cases in Home Isolation","03","","00","","03",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","230","","93","","323",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","230","","93","","323",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","63 
        00 
        00 
        39 
       102"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(31/03/2022)","","Test Done Today 
(01/04/2022)","","Cumulative"
"","","a)  RTPCR","316552","","255","","316807"
"","","b)  TRUENAT","13019","","23","","13042"
"","","c)  RAT","347539","","44","","347583"
"","","d)  CBNAAT","958","","01","","959"
"","","TOTAL","678068","","323","","678391"
