"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","18,282"
"2","Number of persons tested positive today in Tamil Nadu","2,268"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Andaman and  
Nicobar Islands-1"
"","Total","2,269"
"3","Total Number of persons tested positive till date","35,08,526"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","29,126/ 
6,75,54,242@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","28,227/ 
6,63,65,165"
"6","No. of Male / Female / Transgender tested positive today","1,318/951/0"
"7","No. of Male / Female / Transgender tested positive till date","20,45,783/14,62,705/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,697/ 
34,52,216"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,028"
