"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22333","","5203","","27536",""
"2","Total Active Cases","395 
(1.8%)","","127 
(2.4%)","","522 
(1.9%)",""
"3","Total Cured/ Discharged","21770 
(97.5%)","","5017                                  
(96.4%)","","(97.3%)",""
"4","Total Died","168 
(0.75%)","","59 
(1.1%)","","227 
(0.82%)",""
"5","Total Positive cases admitted in COVID 
Hospital","17","","5","","22",""
"6","Total Positive cases in Home Isolation","242","","122","","364",""
"7","COVID Care Centre","117","","00","","117",""
"8","Facility Isolation","19","","00","","19",""
"9","No. of Samples Tested (Today)","968","","280","","1248",""
"10","No. of Samples Positive (Today)","35","","24","","59",""
"11","No. of Samples Negative (Today)","925","","256","","1181",""
"12","Repeat Positive/ Resampling (Today)","08","","00","","08",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","589 
        00 
        00 
        50 
       639"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(13/01/2022)","","Test Done Today 
(14/02/2022)","","Cumulative"
"","","a)  RTPCR","289551","","1102","","290653"
"","","b)  TRUENAT","11968","","10","","11978"
"","","c)  RAT","345251","","129","","345380"
"","","d)  CBNAAT","717","","07","","724"
"","","TOTAL","647487","","1248","","648735"
