"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","47,643"
"2","Number of persons tested positive today in Tamil Nadu","2,812"
"3","Total Number of persons tested positive till date","34,33,966"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,05,822/ 
6,31,92,873@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,02,104/ 
6,20,38,395"
"6","No. of Male / Female / Transgender tested positive today","1,679/1,133/0"
"7","No. of Male / Female / Transgender tested positive till date","20,04,185/14,29,743/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","333 (69 Govt+ 
264$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","11,154/ 
33,48,419"
"10","Total number of deaths today/ till date","17(7 Private &  
10 Govt) /37,904"
