"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23243","","5284","","28527",""
"2","Total Active Cases","137 
(0.59%)","","00 
(0%)","","137 
(0.48%)",""
"3","Total Cured/Discharged","22938 
(98.68%)","","5224 
(98.9%)","","28162 
(98.7%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","15","","00","","15",""
"6","Total Positive cases in Home Isolation","117","","00","","117",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","05","","00","","05",""
"9","No. of Samples Tested (Today)","181","","38","","219",""
"10","No. of Samples Positive (Today)","08","","00","","08",""
"11","No. of Samples Negative (Today)","173","","38","","211",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","51 
19 
10 
04 
84"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(04/07/2022)","","Test Done Today 
(05/07/2022)","","Cumulative"
"","","a)RTPCR","328363","","136","","328499"
"","","b)TRUENAT","14409","","13","","14422"
"","","c)RAT","351011","","70","","351081"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","694888","","219","","695107"
