"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23460","","5290","","28750",""
"2","Total Active Cases","115 
(0.5%)","","06 
(0.11%)","","121 
(0.42%)",""
"3","Total Cured/Discharged","23177 
(98.8%)","","5224 
(98.75%)","","28401 
(98.78%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","19","","00","","19",""
"6","Total Positive cases in Home Isolation","82","","05","","87",""
"7","COVID Care Centre","00","","01","","01",""
"8","Facility Isolation","14","","00","","14",""
"9","No. of Samples Tested (Today)","616","","73","","689",""
"10","No. of Samples Positive (Today)","20","","04","","24",""
"11","No. of Samples Negative (Today)","595","","69","","664",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","73 
31 
11 
02 
117"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(22/07/2022)","","Test Done Today 
(23/07/2022)","","Cumulative"
"","","a)RTPCR","330495","","182","","330677"
"","","b)TRUENAT","14583","","03","","14586"
"","","c)RAT","352628","","498","","353126"
"","","d)  CBNAAT","1117","","06","","1123"
"","","TOTAL","698823","","689","","699512"
