"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,301"
"2","Number of persons tested positive today in Tamil Nadu","105"
"3","Total Number of persons tested positive till date","34,51,815"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","43,127/ 
6,49,64,539@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","43,039/ 
6,37,88,703"
"6","No. of Male / Female / Transgender tested positive today","61/44/0"
"7","No. of Male / Female / Transgender tested positive till date","20,14,658/14,37,119/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","334 (69 Govt+ 
265 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","265/ 
34,12,491"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,023"
