"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","293"
"2","Number of persons tested positive today in Tamil Nadu","32"
"3","Total Number of persons tested positive till date","34,52,857"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","27,914/ 
6,56,25,749@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","27,899/ 
6,44,49,231"
"6","No. of Male / Female / Transgender tested positive today","16/16/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,159/14,37,660/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","45/ 
34,14,539"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
