"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","331"
"2","Number of persons tested positive today in Tamil Nadu","35"
"3","Total Number of persons tested positive till date","34,54,925"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","11,250/ 
6,65,15,404@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","11,239/ 
6,53,38,208"
"6","No. of Male / Female / Transgender tested positive today","14/21/0"
"7","No. of Male / Female / Transgender tested positive till date","20,16,294/14,38,593/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","337 (69 Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","32/ 
34,16,569"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
