"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1857132","20847596"
"2","Total No. of patients tested Positive","24395","784923"
"3","No. of patients discharged","23978","764252"
"4","Total Deaths reported","205","20510"
"5","Sample collected on the day","","6594"
"6","Test conducted on the day","","6561"
"7","Positive cases on the day","","16"
"8","Number of active Cases","","161"
"9","No. of Patients on oxygen support","","5"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218888"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117946"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","4"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211985"
"18","Frontline Workers vaccinated with 2nd dose on the day","","14"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019313"
"20","Above 45 Vaccinated with 1st dose on the day","","40"
"21","Total Above 45 Vaccinated with 1st dose","","8346878"
"22","Above 45 Vaccinated with 2nd dose on the day","","107"
"23","Total Above 45 Vaccinated with 2nd dose","","7652693"
"24","18-44 years age group Vaccinated with 1st dose on the day","","155"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12662307"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","515"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10700492"
"28","15-17 years age group Vaccinated with 1st dose on the day","","34"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1114847"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","191"
"31","Total 15-17 years age group Vaccinated with 2nddose","","863885"
"32","12-14 years age group Vaccinated with 1st dose on the day","","287"
"33","Total 12-14 years age group Vaccinated with 1st dose","","679726"
"34","12-14 years age group Vaccinated with 2nddose on the day","","864"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","488764"
"36","Precautionary dose given on the day","","3504"
"37","Total Precautionary dose given","","1793205"
"38","Total Vaccination 1st dose on the day","","196"
"39","Total Vaccination 2nd dose on the day","","640"
"40","Total Vaccination 1st and 2nd dose on the day","","836"
