AP|2021-11-01 07:02:04.588672|GetSource|OK|File Downloaded fromhttps://hmfw.ap.gov.in/covid_dashboard.aspx
AP|2021-11-02 06:19:48.096805|ExtractFromHTML|OK|COMPLETED
AP|2021-11-02 06:24:16.428182|ExtractFromHTML|OK|COMPLETED
AP|2021-11-02 10:52:12.863568|ExtractFromHTML|OK|COMPLETED
AP|2021-11-02 10:59:42.157231|ExtractFromHTML|OK|COMPLETED
AP|2021-11-02 11:02:02.374199|ExtractFromHTML|OK|COMPLETED
AP|2021-11-02 16:25:01.203653|ExtractFromHTML|OK|COMPLETED
AP|2021-11-02 16:42:03.034487|ExtractFromHTML|OK|COMPLETED
AP|2021-11-02 16:44:15.139231|ExtractFromHTML|OK|COMPLETED
AP|2021-11-02 19:50:33.581811|ExtractFromHTML|OK|COMPLETED
AP|2021-11-02 19:59:17.420179|ExtractFromHTML|OK|COMPLETED
AP|2021-11-02 20:05:18.928697|ExtractFromHTML|OK|COMPLETED
AP|2021-11-03 09:46:08.027168|ExtractFromHTML|OK|COMPLETED
