"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,339"
"2","Number of persons tested positive today in Tamil Nadu","460"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Karnataka-1"
"","Total","461"
"3","Total Number of persons tested positive till date","35,84,563"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","13,328/ 
6,94,66,844@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","13,149/ 
6,82,48,113"
"6","No. of Male / Female / Transgender tested positive today","267/194/0"
"7","No. of Male / Female / Transgender tested positive till date","20,90,084/14,94,441/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","537/ 
35,41,177"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,047"
