"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22927","","5275","","28202",""
"2","Total Active Cases","38 
(0.17%)","","02 
(0.04%)","","40 
(0.14%)",""
"3","Total Cured/ Discharged","22721 
(99.1%)","","5213                                  
(98.8%)","","(99%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","08","","0","","08",""
"6","Total Positive cases in Home Isolation","12","","02","","14",""
"7","COVID Care Centre","18","","00","","18",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","293","","37","","330",""
"10","No. of Samples Positive (Today)","02","","00","","02",""
"11","No. of Samples Negative (Today)","287","","37","","324",""
"12","Repeat Positive/ Resampling (Today)","04","","00","","04",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","128 
        00 
        00 
        06 
       134"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(18/03/2022)","","Test Done Today 
(19/03/2022)","","Cumulative"
"","","a)  RTPCR","312633","","297","","312930"
"","","b)  TRUENAT","12698","","12","","12710"
"","","c)  RAT","347285","","10","","347295"
"","","d)  CBNAAT","902","","11","","913"
"","","TOTAL","673518","","330","","673848"
