"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","788809","4","49788","0","447","0","49316","25"
"2","ALWAR","1612295","10","84677","0","320","10","84299","58"
"3","BANSWARA","318838","0","14767","0","106","0","14659","2"
"4","BARAN","237255","0","15299","0","64","7","15224","11"
"5","BARMER","403912","0","21455","0","205","1","21250","0"
"6","BHARATPUR","476285","0","31451","0","272","0","31179","0"
"7","BHILWARA","507539","2","38189","0","162","1","38021","6"
"8","BIKANER","744541","0","49950","0","586","2","49351","13"
"9","BUNDI","234663","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","452388","0","29391","0","140","0","29243","8"
"11","CHURU","434705","2","20855","0","115","2","20724","16"
"12","DAUSA","292588","2","15825","0","81","0","15732","12"
"13","DHOLPUR","285768","4","13962","0","49","2","13897","16"
"14","DUNGARPUR","327790","0","25498","0","134","0","25364","0"
"15","GANGANAGAR","422792","0","28150","0","158","0","27990","2"
"16","HANUMANGARH","488653","0","22518","0","114","0","22404","0"
"17","JAIPUR","3427719","31","276113","0","2113","44","273728","272"
"18","JAISALMER","242533","0","17036","0","68","0","16968","0"
"19","JALORE","445559","0","10548","0","78","0","10468","2"
"20","JHALAWAR","398394","1","17739","0","207","0","17521","11"
"21","JHUNJHUNU","492783","1","19159","0","181","0","18977","1"
"22","JODHPUR","1423425","5","141142","0","1164","6","139958","20"
"23","KARAULI","238974","0","8968","0","84","0","8884","0"
