"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","116","1","0","31","160"
"2","ALWAR","251","13","0","176","559"
"3","BANSWARA","1","0","0","1","20"
"4","BARAN","50","0","0","3","3"
"5","BARMER","17","0","0","1","1"
"6","BHARATPUR","75","0","0","0","348"
"7","BHILWARA","148","4","0","10","22"
"8","BIKANER","179","0","0","2","36"
"9","BUNDI","54","6","0","2","57"
"10","CHITTORGARH","29","0","0","34","148"
"11","CHURU","70","0","0","0","2"
"12","DAUSA","53","0","0","55","93"
"13","DHOLPUR","63","1","0","5","15"
"14","DUNGARPUR","94","9","0","11","77"
"15","GANGANAGAR","2","1","1","0","8"
"16","HANUMANGARH","7","0","0","1","7"
"17","JAIPUR","1057","75","1","176","1395"
"18","JAISALMER","34","1","0","7","23"
"19","JALORE","10","1","0","2","16"
"20","JHALAWAR","20","1","0","5","25"
"21","JHUNJHUNU","63","0","0","0","1"
"22","JODHPUR","164","11","0","30","108"
"23","KARAULI","5","0","0","0","1"
"24","KOTA","233","3","0","19","61"
"25","NAGAUR","26","0","0","20","83"
"26","PALI","110","8","0","0","75"
