"S. No","Subject","Number"
"1","Total Number of people vaccinated on 22nd Jan","7,48,146"
"2","First Dose on 22nd Jan","1,17,509"
"3","Second Dose on 2nd Jan","5,72,148"
"4","Precaution Dose on 22nd Jan","58,489"
"5","Cumulative Vaccination till 22nd Jan","11,63,64,234"
"6","Cumulative Vaccination First Dose","6,85,13,296"
"7","Cumulative Vaccination Second Dose","4,73,25,027"
"8","Cumulative Precaution Dose","5,25,911"
"9","Number of CVC (Common Vaccination Centres)","5,941"
"10","Cumulative AEFI cases reported","6,643"
"11","Vaccine wastage","-7%"
