,Unnamed: 0,44,Unnamed: 1,गोंडा,Unnamed: 2,3,Unnamed: 3,0,Unnamed: 4,12016,Unnamed: 5,0.1,Unnamed: 6,271,Unnamed: 7,8,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,लखीमपरु-खीरी,,2.0,,0.0,,24126.0,,0.0,,292.0,,8.0,,,,,
1,,46,,सलु्तानपरु,,1.0,,0.0,,14780.0,,0.0,,138.0,,8.0,,,,,
2,,47,,बमलया,,1.0,,0.0,,21376.0,,0.0,,234.0,,7.0,,,,,
3,,48,,बहराइच,,2.0,,0.0,,11372.0,,0.0,,178.0,,7.0,,,,,
4,,49,,फर्रखाबाद,,2.0,,0.0,,10155.0,,0.0,,194.0,,7.0,,,,,
5,,50,,कानपरु देहात,,1.0,,0.0,,6088.0,,0.0,,110.0,,7.0,,,,,
6,,51,,मसद्धाथ नगर,,2.0,,0.0,,9275.0,,0.0,,100.0,,7.0,,,,,
7,,52,,सीतापरु,,2.0,,0.0,,12214.0,,0.0,,185.0,,7.0,,,,,
8,,53,,मनैपरुी,,2.0,,0.0,,9851.0,,0.0,,182.0,,6.0,,,,,
9,,54,,उन्नाव,,4.0,,0.0,,14769.0,,0.0,,254.0,,6.0,,,,,
10,,55,,अमठेी,,0.0,,0.0,,9830.0,,0.0,,143.0,,5.0,,,,,
11,,56,,इटावा,,2.0,,0.0,,13640.0,,0.0,,293.0,,5.0,,,,,
12,,57,,कुशीनगर,,1.0,,0.0,,15390.0,,0.0,,228.0,,5.0,,,,,
13,,58,,लमलतपरु,,3.0,,0.0,,12621.0,,0.0,,128.0,,5.0,,,,,
14,,59,,कन्नौज,,0.0,,0.0,,9114.0,,0.0,,115.0,,4.0,,,,,
15,,60,,कौशाम्बी,,0.0,,0.0,,4356.0,,0.0,,70.0,,4.0,,,,,
16,,61,,मऊ,,1.0,,0.0,,8253.0,,0.0,,80.0,,4.0,,,,,
17,,62,,बादा,,2.0,,0.0,,10832.0,,0.0,,161.0,,3.0,,,,,
18,,63,,जौनपरु,,1.0,,0.0,,22350.0,,0.0,,235.0,,3.0,,,,,
19,,64,,कासगजं,,2.0,,0.0,,4197.0,,0.0,,53.0,,3.0,,,,,
20,,65,,प्रतापगढ़,,0.0,,0.0,,15875.0,,0.0,,163.0,,3.0,,,,,
21,,66,,भदोही,,1.0,,0.0,,7558.0,,0.0,,163.0,,2.0,,,,,
22,,67,,पीलीभीत,,0.0,,0.0,,10839.0,,0.0,,193.0,,2.0,,,,,
23,,68,,श्रावस्ती,,0.0,,0.0,,4354.0,,0.0,,35.0,,2.0,,,,,
24,,69,,अम्बडेकर नगर,,0.0,,0.0,,4888.0,,0.0,,152.0,,1.0,,,,,
25,,70,,फतहेपरु,,0.0,,0.0,,6679.0,,0.0,,139.0,,1.0,,,,,
26,,71,,हमीरपरु,,0.0,,0.0,,5137.0,,0.0,,102.0,,1.0,,,,,
27,,72,,सतं कबीर नगर,,0.0,,0.0,,8064.0,,0.0,,98.0,,1.0,,,,,
28,,73,,चचत्रकट,,0.0,,0.0,,7031.0,,0.0,,79.0,,0.0,,,,,
29,,74,,जालौन,,0.0,,0.0,,11489.0,,0.0,,202.0,,0.0,,,,,
30,,75,,महोबा,,0.0,,0.0,,4182.0,,0.0,,86.0,,0.0,,,,,
31,,Total,,,,,,,2038.0,,51.0,,1688058.0,,0.0,,22916.0,,5158.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 22916 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
