"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22966","","5280","","28246",""
"2","Total Active Cases","04 
(0.02%)","","00 
(0%)","","04 
(0.01%)",""
"3","Total Cured/Discharged","22794 
(99.2%)","","5220 
(98.9%)","","28014 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","01","","0","","01",""
"6","Total Positive cases in Home Isolation","03","","00","","03",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","157","","26","","183",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","156","","26","","182",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","30 
00 
00 
00 
30"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(28/04/2022)","","Test Done Today 
(29/04/2022)","","Cumulative"
"","","a)RTPCR","319847","","135","","319982"
"","","b)TRUENAT","13577","","32","","13609"
"","","c)RAT","348185","","16","","348201"
"","","d)  CBNAAT","1082","","00","","1082"
"","","TOTAL","682691","","183","","682874"
