"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","535"
"2","Number of persons tested positive today in Tamil Nadu","48"
"3","Total Number of persons tested positive till date","34,52,490"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","29,192/ 
6,53,27,498@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","29,162/ 
6,41,51,183"
"6","No. of Male / Female / Transgender tested positive today","21/27/0"
"7","No. of Male / Female / Transgender tested positive till date","20,14,984/14,37,468/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","334 (69 Govt+ 
265 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","89/ 
34,13,930"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
