"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","585","2","0","2","26"
"2","ALWAR","1082","4","0","9","35"
"3","BANSWARA","103","0","0","3","6"
"4","BARAN","211","0","0","1","0"
"5","BARMER","22","0","0","0","0"
"6","BHARATPUR","43","0","0","2","1"
"7","BHILWARA","203","0","0","4","4"
"8","BIKANER","431","1","0","3","16"
"9","BUNDI","152","3","0","0","8"
"10","CHITTORGARH","203","1","0","2","25"
"11","CHURU","196","0","0","0","0"
"12","DAUSA","498","3","1","7","8"
"13","DHOLPUR","142","0","0","0","3"
"14","DUNGARPUR","38","0","0","4","10"
"15","GANGANAGAR","168","0","0","0","3"
"16","HANUMANGARH","225","0","0","2","2"
"17","JAIPUR","1449","7","0","24","101"
"18","JAISALMER","8","0","0","0","0"
"19","JALORE","102","0","0","1","2"
"20","JHALAWAR","439","0","0","0","2"
"21","JHUNJHUNU","377","0","0","0","0"
"22","JODHPUR","261","3","0","4","36"
"23","KARAULI","268","0","0","3","2"
"24","KOTA","1053","13","0","6","53"
"25","NAGAUR","399","1","0","1","2"
"26","PALI","490","0","0","1","13"
