"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1461783","20452247"
"2","Total No. of patients tested Positive","21196","781724"
"3","No. of patients discharged","19224","759498"
"4","Total Deaths reported","152","20458"
"5","Sample collected on the day","","11498"
"6","Test conducted on the day","","11353"
"7","Positive cases on the day","","283"
"8","Number of active Cases","","1768"
"9","No. of Patients on oxygen support","","84"
"10","Patients at critical care Level-3 facilities","","29"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218849"
"14","Frontline Workers vaccinated with 1st dose on the day","","6"
"15","Total Frontline Workers vaccinated with 1st dose","","1117829"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","8"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211741"
"18","Frontline Workers vaccinated with 2nd dose on the day","","66"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018463"
"20","Above 45 Vaccinated with 1st dose on the day","","489"
"21","Total Above 45 Vaccinated with 1st dose","","8342203"
"22","Above 45 Vaccinated with 2nd dose on the day","","1839"
"23","Total Above 45 Vaccinated with 2nd dose","","7627593"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1279"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12646009"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","4445"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10631977"
"28","15-17 years age group Vaccinated with 1st dose on the day","","589"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1108018"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1140"
"31","Total 15-17 years age group Vaccinated with 2nddose","","843233"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1323"
"33","Total 12-14 years age group Vaccinated with 1st dose","","658511"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1995"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","450344"
"36","Precautionary dose given on the day","","22155"
"37","Total Precautionary dose given","","1460676"
"38","Total Vaccination 1st dose on the day","","1776"
"39","Total Vaccination 2nd dose on the day","","6358"
"40","Total Vaccination 1st and 2nd dose on the day","","8134"
