"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","638252","0","37841","0","410","1","37415","16"
"2","ALWAR","1275453","10","59735","0","307","0","59405","23"
"3","BANSWARA","238920","0","10005","0","104","0","9901","0"
"4","BARAN","167646","0","11997","0","61","0","11936","0"
"5","BARMER","335521","0","15580","0","185","1","15387","8"
"6","BHARATPUR","387747","0","19604","0","260","0","19341","3"
"7","BHILWARA","403050","0","29783","0","156","0","29626","1"
"8","BIKANER","603923","0","40386","0","546","0","39815","25"
"9","BUNDI","180219","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","367602","0","19809","0","139","0","19670","0"
"11","CHURU","324493","0","16721","0","107","0","16614","0"
"12","DAUSA","215451","0","13354","0","62","0","13291","1"
"13","DHOLPUR","228623","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","256232","0","18412","0","131","0","18276","5"
"15","GANGANAGAR","341601","0","19357","0","150","0","19205","2"
"16","HANUMANGARH","389928","0","16063","0","111","1","15943","9"
"17","JAIPUR","2580761","7","188117","0","1971","8","186018","128"
"18","JAISALMER","208926","0","13646","0","66","0","13578","2"
"19","JALORE","381446","0","10067","0","72","0","9995","0"
"20","JHALAWAR","292411","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","383716","2","14818","0","158","0","14654","6"
"22","JODHPUR","1170250","1","112429","0","1103","0","111316","10"
"23","KARAULI","174865","0","7156","0","70","0","7086","0"
