"Total No. of Sample Taken Today","6166"
"Total No. of Positive Cases Detected Today","41"
"Total Active COVID-19 Patients","306"
"Total No. of Active Cases under Home Isolation (25-09-2022)","281"
"Total No. of Samples found Positive till date","1054724"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1043692"
"No. of Deaths","10703"
"Total No. of People Vaccinated Today","320 
(1st Dose: 0 
2nd Dose: 0 
Precaution Dose: 320)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23662496 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19802493 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1888936"
"Cumulative Coverage of Total COVID-19 Vaccination","45353925"
"COVID-19 Today (25-09-2022) Positivity Rate","0.81%"
"Recovery Rate","98.95%"
"Fatality Rate","1.01%"
