"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,337"
"2","Number of persons tested positive today in Tamil Nadu","736"
"3","Total Number of persons tested positive till date","27,25,467"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,01,446/ 
5,40,69,791@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,01,189/ 
5,31,37,900"
"6","No. of Male / Female / Transgender tested positive today","444/292/0"
"7","No. of Male / Female / Transgender tested positive till date","15,90,777/11,34,652/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","312 (69 Govt+ 
243$Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","772/ 
26,80,667"
"10","Total number of deaths today/ till date","9(2 Private &  
7 Govt) /36,463)"
