"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1393806*","20384269*"
"2","Total No. of patients tested Positive","19275","779835"
"3","No. of patients discharged","17207","757482"
"4","Total Deaths reported","127","20432"
"5","Sample collected on the day","","3924"
"6","Test conducted on the day","","3844"
"7","Positive cases on the day","","224"
"8","Number of active Cases","","1921"
"9","No. of Patients on oxygen support","","92"
"10","Patients at critical care Level-3 facilities","","26"
"11","Patients who are critical and on ventilator support","","2"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218836"
"14","Frontline Workers vaccinated with 1st dose on the day","","7"
"15","Total Frontline Workers vaccinated with 1st dose","","1117804"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","14"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211677"
"18","Frontline Workers vaccinated with 2nd dose on the day","","67"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018169"
"20","Above 45 Vaccinated with 1st dose on the day","","167"
"21","Total Above 45 Vaccinated with 1st dose","","8340439"
"22","Above 45 Vaccinated with 2nd dose on the day","","1810"
"23","Total Above 45 Vaccinated with 2nd dose","","7618468"
"24","18-44 years age group Vaccinated with 1st dose on the day","","687"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12640682"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","4375"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10608123"
"28","15-17 years age group Vaccinated with 1st dose on the day","","152"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1106236"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","798"
"31","Total 15-17 years age group Vaccinated with 2nddose","","838611"
"32","12-14 years age group Vaccinated with 1st dose on the day","","345"
"33","Total 12-14 years age group Vaccinated with 1st dose","","654439"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1021"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","443035"
"36","Precautionary dose given on the day","","22670"
"37","Total Precautionary dose given","","1347480"
"38","Total Vaccination 1st dose on the day","","862"
"39","Total Vaccination 2nd dose on the day","","6266"
"40","Total Vaccination 1st and 2nd dose on the day","","7128"
